Account, Status, Transaction Date, Posted Date, Card No., Description, Category, Debit, Credit, Card Title, Check No.
"Checking - 9692",Posted,02/12/2024,02/12/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,687.00,,
"Checking - 9692",Posted,02/12/2024,02/12/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,1287.15,,
"Checking - 9692",Posted,02/12/2024,02/12/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,4213.20,,
"Checking - 9692",Posted,02/12/2024,02/12/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,4548.35,,
"Checking - 9692",Posted,02/12/2024,02/12/2024,,"ACH Debit  UTIL PAYMT OK NATURAL GAS  PPD",B,208.06,,,
"Checking - 9692",Posted,02/12/2024,02/12/2024,,"ACH Debit  CABLE PMNT OPTIMUM 7705  PPD",B,259.46,,,
"Checking - 9692",Posted,02/12/2024,02/12/2024,,"CHECK               5068",B,4500.00,,,5068
"Checking - 9692",Posted,02/09/2024,02/09/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,188.00,,
"Checking - 9692",Posted,02/09/2024,02/09/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2652.00,,
"Checking - 9692",Posted,02/09/2024,02/09/2024,,"ACH Debit  BILLPAY    STILLWATER UTILI  PPD",B,244.89,,,
"Checking - 9692",Posted,02/09/2024,02/09/2024,,"POS Debit - DDA  POS DEB 1005 02/07/24 10612697  Walmart.com  Walmart.com  Bentonville   AR C#8567",B,267.15,,,
"Checking - 9692",Posted,02/09/2024,02/09/2024,,"POS Pre-Authorized Debit - DDA  DBT CRD 1106 02/07/24 DBUJ7VFY  SAMSCLUB.COM  888-746-7726  AR C#8567",B,32.75,,,
"Checking - 9692",Posted,02/09/2024,02/09/2024,,"CHECK              0",B,390.00,,,
"Checking - 9692",Posted,02/09/2024,02/09/2024,,"CHECK              0",B,390.00,,,
"Checking - 9692",Posted,02/09/2024,02/09/2024,,"CHECK              0",B,390.00,,,
"Checking - 9692",Posted,02/09/2024,02/09/2024,,"CHECK              3052",B,920.00,,,3052
"Checking - 9692",Posted,02/08/2024,02/08/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,94.50,,
"Checking - 9692",Posted,02/08/2024,02/08/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,144.00,,
"Checking - 9692",Posted,02/08/2024,02/08/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2092.20,,
"Checking - 9692",Posted,02/08/2024,02/08/2024,,"CHECK              3053",B,1353.00,,,3053
"Checking - 9692",Posted,02/08/2024,02/08/2024,,"CHECK              3058",B,1189.00,,,3058
"Checking - 9692",Posted,02/08/2024,02/08/2024,,"CHECK              3059",B,1220.00,,,3059
"Checking - 9692",Posted,02/07/2024,02/07/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2177.85,,
"Checking - 9692",Posted,02/07/2024,02/07/2024,,"CHECK              3055",B,1277.00,,,3055
"Checking - 9692",Posted,02/07/2024,02/07/2024,,"CHECK              3057",B,1244.00,,,3057
"Checking - 9692",Posted,02/07/2024,02/07/2024,,"CHECK              3060",B,979.00,,,3060
"Checking - 9692",Posted,02/06/2024,02/06/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,55.00,,
"Checking - 9692",Posted,02/06/2024,02/06/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,113.00,,
"Checking - 9692",Posted,02/06/2024,02/06/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1391.10,,
"Checking - 9692",Posted,02/06/2024,02/06/2024,,"CHECK              3016",B,768.00,,,3016
"Checking - 9692",Posted,02/06/2024,02/06/2024,,"CHECK              3029",B,938.00,,,3029
"Checking - 9692",Posted,02/05/2024,02/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,60.00,,
"Checking - 9692",Posted,02/05/2024,02/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,156.00,,
"Checking - 9692",Posted,02/05/2024,02/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,216.00,,
"Checking - 9692",Posted,02/05/2024,02/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,622.60,,
"Checking - 9692",Posted,02/05/2024,02/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2537.25,,
"Checking - 9692",Posted,02/05/2024,02/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,3948.45,,
"Checking - 9692",Posted,02/05/2024,02/05/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,4834.50,,
"Checking - 9692",Posted,02/05/2024,02/05/2024,,"ACH Debit  CABLE PMNT OPTIMUM 7705  PPD",B,75.00,,,
